Days_since_10th_death,PH_Date_10_Deaths,Philippines_deaths,Philippines,USA_Date_10_Deaths,USA_deaths,United States of America,Italy_Date_10_Deaths,Italy_deaths,Italy,SK_Date_10_Deaths,SK_deaths,South Korea,2x_everyday,2x_every_2_days,2x_every_3_days,2x_every_week,2x_every_month,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
